AREA (KM2)	VOLUME (HM3)	VOLUME (M3)	Afluência (m³/s)	Defluência (m³/s)
119.4258151	5101.339843	5101339843	623.64	152
119.2054062	5089.791659	5089791659	569.74	718
118.7874694	5067.900476	5067900476	532.02	812
118.2830168	5041.488796	5041488796	507.25	840
117.6928851	5010.606774	5010606774	457.38	848
117.1267004	4980.993811	4980993811	437.84	814
116.9529016	4971.906818	4971906818	408.26	524
117.2789333	4988.954456	4988954456	396	179
116.6275507	4954.899976	4954899976	351.71	784
115.8063694	4911.998218	4911998218	342.55	865
115.0324213	4871.594912	4871594912	301.55	824
114.2196994	4829.200014	4829200014	295.1	812
113.4325204	4788.169707	4788169707	296.39	806
112.945254	4762.787838	4762787838	273.44	604
112.9029575	4760.585184	4760585184	296.23	310
112.080557	4717.775981	4717775981	266.75	798
111.1999473	4671.976332	4671976332	282.11	846
110.3453418	4627.568769	4627568769	336.54	887
109.475035	4582.38598	4582385980	360.69	910
108.7743007	4546.036901	4546036901	332.25	790
108.4662314	4530.065075	4530065075	371.82	568
109.1036352	4563.117041	4563117041	420.04	14.6
108.5688479	4535.384632	4535384632	463.03	790
107.7907973	4495.065809	4495065809	428.61	930
107.0169642	4454.999375	4454999375	449.94	921
106.4090138	4423.545719	4423545719	440.32	835
105.6829231	4386.007727	4386007727	450	902
105.2410491	4363.178404	4363178404	412	687
105.4216465	4372.507549	4372507549	360.5	248
104.9205651	4346.627829	4346627829	394.5	707
104.0629231	4302.366996	4302366996	410.54	947
103.4281303	4269.635177	4269635177	415.7	812
102.7174991	4233.021805	4233021805	371.17	817
101.9322552	4192.600149	4192600149	341	832
101.0543062	4147.451602	4147451602	341	886
101.5803842	4174.499403	4174499403	475.85	149
101.0543062	4147.451602	4147451602	660.15	987
100.6853441	4128.492145	4128492145	735.87	978
100.7435332	4131.481674	4131481674	1034.38	986
100.3947813	4113.567361	4113567361	1032.06	1250
100.3367452	4110.586974	4110586974	981.62	1030
100.724134	4130.484995	4130484995	972	730
102.1281381	4202.679968	4202679968	938	66
102.0497507	4198.645995	4198645995	874.66	911
101.5608629	4173.495423	4173495423	765.3	1080
100.7435332	4131.481674	4131481674	653.59	1150
99.87337292	4086.798652	4086798652	575.79	1120
98.89410488	4036.571029	4036571029	481.64	1110
97.80828395	3980.951375	3980951375	446	1130
97.46728435	3963.500248	3963500248	406.42	621
96.29965145	3903.804182	3903804182	332.15	1070
94.80880733	3827.719211	3827719211	326	1270
93.48215486	3760.144585	3760144585	267	1110
92.15159279	3692.497728	3692497728	359	1200
91.84382415	3676.86895	3676868950	837	1030
91.46472499	3657.627577	3657627577	852	1090
91.1407363	3641.191847	3641191847	691.83	896
90.54903801	3611.195729	3611195729	624.72	990
89.71139736	3568.77702	3568777020	554.21	1060
89.8179985	3574.172393	3574172393	764.97	699
89.46303823	3556.210286	3556210286	790.09	1010
89.42760139	3554.417605	3554417605	956	978
89.03850562	3534.740407	3534740407	942	1180
89.96028423	3581.375222	3581375222	1133	565
92.11534386	3690.656611	3690656611	2233.97	893
94.92000635	3833.388909	3833388909	2777.08	1000
98.70295033	4026.773787	4026773787	3145.85	769
101.4437946	4167.475114	4167475114	2722.28	993
104.6806871	4334.243906	4334243906	2316	294
108.0155882	4506.711056	4506711056	2083	0
111.0536872	4664.373487	4664373487	1929.86	0
112.8184004	4756.182018	4756182018	1769.03	635
113.9213664	4813.646189	4813646189	1701.2	985
114.7538974	4857.062189	4857062189	1600	1060
115.3329379	4887.279553	4887279553	1501	1120
115.6986434	4906.372673	4906372673	1440	1200
116.2812591	4936.804253	4936804253	1401	1020
117.6928851	5010.606774	5010606774	1310.45	377
118.3706321	5046.075202	5046075202	1208.03	774
117.9548926	5024.315735	5024315735	1055	1330
117.2789333	4988.954456	4988954456	942	1390
116.4976007	4948.108651	4948108651	773	1290
115.6986434	4906.372673	4906372673	618	1140
115.2470159	4882.794625	4882794625	544	841
116.0436318	4924.390304	4924390304	550	27.4
115.4404081	4892.889768	4892889768	531.63	927
114.4972485	4843.674336	4843674336	500.09	1120
113.6448679	4799.234802	4799234802	479.07	1030
112.7550138	4752.881517	4752881517	461.53	1040
111.576711	4691.566399	4691566399	433.29	1190
